
INPUT
START
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  1  0  0  0  0
  0  0  0  1  1  0  0  0
  0  0  0  1 -1  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
79. -c5  +d6  -e3  +f5  -g5  +c4  -c3  +e6  -e7  
80. -c5  +d6  -e7  +f5  -g5  +e6  -c2  +f4  -e3  
81. -c5  +e6  -d2  +c4  -f5  +c6  -b5  +d6  -d7  
82. -c5  +e6  -d2  +c4  -f5  +d6  -d7  +c6  -b5  
83. -c5  +e6  -e3  +c3  -b3  +d6  -e7  +d2  -d1  
84. -c5  +e6  -e3  +c3  -b3  +d6  -e7  +d7  -d8  
85. -c5  +e6  -f3  +e3  -c3  +d6  -e7  +d2  -d1  
86. -c5  +e6  -f3  +e3  -c3  +d6  -e7  +d7  -d8  
87. -c5  +e6  -f5  +c4  -c2  +c6  -b5  +d6  -d7  
88. -c5  +e6  -f5  +c6  -c2  +c4  -b5  +d6  -d7  
89. -c5  +e6  -f5  +c6  -c2  +b5  -a5  +d6  -d7  
89 Solves
THE END
TIME: 30.659341 s
