
INPUT
START
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  1  0  0  0  0
  0  0  0  1  1  0  0  0
  0  0  0  1 -1  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
79. -c3  +e6  -d6  +c6  -d2  +d1  -e1  +b2  -c1  
80. -c3  +e6  -d6  +c6  -d2  +d1  -e1  +b3  -c1  
81. -c3  +e6  -d6  +c7  -d2  +d1  -e1  +b2  -c1  
82. -c3  +e6  -d6  +c7  -d2  +d1  -e1  +b3  -c1  
83. -c3  +e6  -f6  +b3  -b2  +g6  -a3  +a1  -c1  
84. -c3  +e6  -f6  +g6  -g7  +b3  -h6  +h8  -f8  
85. -e3  +f2  -e2  +f5  -g1  +f3  -f4  +f1  -e1  
86. -e3  +f2  -c3  +b3  -b2  +f5  -a3  +a1  -c1  
87. -e3  +f2  -c3  +b3  -b2  +e6  -a3  +a1  -c1  
88. -e3  +f2  -c3  +f5  -d2  +d1  -e1  +b2  -c1  
89. -e3  +f2  -c3  +f5  -d2  +d1  -e1  +b3  -c1  
90. -e3  +f2  -c3  +e6  -d2  +d1  -e1  +b2  -c1  
91. -e3  +f2  -c3  +e6  -d2  +d1  -e1  +b3  -c1  
92. -e3  +f3  -e2  +f5  -c3  +e1  -f1  +b3  -d1  
93. -e3  +f3  -e2  +f5  -g3  +e1  -d1  +h3  -f1  
94. -e3  +f3  -e2  +f6  -c2  +e1  -f1  +b1  -d1  
95. -e3  +f3  -e2  +f6  -g2  +e1  -d1  +h1  -f1  
96. -e3  +f3  -e2  +f6  -c3  +e1  -f1  +b3  -d1  
97. -e3  +f3  -e2  +f6  -g3  +e1  -d1  +h3  -f1  
98. -e3  +f3  -c3  +b3  -b2  +f5  -a3  +a1  -c1  
99. -e3  +f3  -c3  +b3  -b2  +e6  -a3  +a1  -c1  
100. -e3  +f3  -c3  +f5  -d2  +d1  -e1  +b2  -c1  
101. -e3  +f3  -c3  +f5  -d2  +d1  -e1  +b3  -c1  
102. -e3  +f3  -c3  +e6  -d2  +d1  -e1  +b2  -c1  
103. -e3  +f3  -c3  +e6  -d2  +d1  -e1  +b3  -c1  
104. -e3  +f5  -c5  +b5  -d2  +d1  -c1  +f2  -e1  
105. -e3  +f5  -c5  +b5  -d2  +d1  -c1  +f3  -e1  
106. -e3  +f5  -c5  +b5  -b6  +e2  -a5  +a7  -c7  
107. -e3  +f5  -c5  +b5  -b6  +f3  -a5  +a7  -c7  
108. -e3  +f6  -c2  +e2  -f1  +e1  -d1  +b1  -b3  
109. -e3  +f6  -c4  +b3  -d2  +d1  -c1  +f3  -e1  
110. -e3  +f6  -c4  +b5  -d2  +d1  -c1  +f3  -e1  
111. -e3  +f6  -c5  +b5  -d2  +d1  -c1  +f3  -e1  
112. -e3  +f6  -c5  +b5  -b6  +e2  -a5  +a7  -c7  
113. -e3  +f6  -c5  +b5  -b6  +f3  -a5  +a7  -c7  
114. -c5  +b6  -c3  +b3  -b2  +f5  -a3  +a1  -c1  
115. -c5  +b6  -c3  +f5  -d2  +d1  -e1  +b2  -c1  
116. -c5  +b6  -c3  +f5  -d2  +d1  -e1  +b3  -c1  
117. -c5  +b6  -b5  +b4  -a3  +d6  -a5  +f4  -a7  
118. -c5  +b6  -b5  +b4  -a3  +d6  -a5  +f5  -a7  
119. -c5  +b6  -b5  +b4  -a3  +d6  -a5  +e6  -a7  
120. -c5  +b6  -b5  +b4  -a3  +d6  -a5  +f6  -a7  
121. -c5  +b6  -b5  +b4  -a3  +d6  -a7  +f4  -a5  
122. -c5  +b6  -b5  +b4  -a3  +d6  -a7  +f5  -a5  
123. -c5  +b6  -b5  +b4  -a3  +d6  -a7  +e6  -a5  
124. -c5  +b6  -b5  +b4  -a3  +d6  -a7  +f6  -a5  
125. -c5  +b6  -b5  +b4  -a3  +e6  -a5  +d6  -a7  
126. -c5  +b6  -b5  +b4  -a3  +e6  -a7  +d6  -a5  
127. -c5  +b6  -b5  +b4  -a3  +f6  -a5  +d6  -a7  
128. -c5  +b6  -b5  +b4  -a3  +f6  -a7  +d6  -a5  
129. -c5  +b6  -b5  +b4  -a5  +e6  -a3  +d6  -a7  
130. -c5  +b6  -b5  +b4  -a5  +f6  -a3  +d6  -a7  
131. -c5  +b6  -b5  +b4  -a7  +e6  -a3  +d6  -a5  
132. -c5  +b6  -b5  +b4  -a7  +f6  -a3  +d6  -a5  
133. -c5  +e6  -d2  +b5  -b6  +d1  -a5  +a7  -c7  
134. -c5  +e6  -d2  +b5  -b6  +b7  -a7  +d1  -b8  
135. -c5  +e6  -e3  +b5  -d2  +d1  -c1  +f2  -e1  
136. -c5  +e6  -e3  +b5  -d2  +d1  -c1  +f3  -e1  
137. -c5  +e6  -e3  +b5  -b6  +e2  -a5  +a7  -c7  
138. -c5  +e6  -e3  +b5  -b6  +f3  -a5  +a7  -c7  
139. -c5  +f6  -d2  +b5  -b6  +d1  -a5  +a7  -c7  
140. -c5  +f6  -d2  +b5  -b6  +b7  -a7  +d1  -b8  
141. -c5  +f6  -e3  +b5  -d2  +d1  -c1  +f2  -e1  
142. -c5  +f6  -e3  +b5  -d2  +d1  -c1  +f3  -e1  
143. -c5  +f6  -e3  +b5  -b6  +e2  -a5  +a7  -c7  
144. -c5  +f6  -e3  +b5  -b6  +f3  -a5  +a7  -c7  
144 Solves
THE END
TIME: 40.549451 s
